id;nombre;direccion;descripcion;fecha_creacion;fecha_modificacion
1;Investor;Rhode Island;Costa Rica grid-enabled silver;2020-06-03T10:43:14;2020-06-03T15:08:25
2;digital Turkish Lira;Sleek Granite Computer paradigms;initiatives;2020-06-02T22:48:20;2020-06-03T13:36:06
3;Indiana;engineer;web-readiness optical;2020-06-03T14:09:29;2020-06-03T07:43:22
4;Kuwait Guinea;Cambridgeshire Internal leading-edge;ADP;2020-06-03T16:28:04;2020-06-03T13:28:16
5;Oregon;Assistant;bottom-line copying Berkshire;2020-06-03T11:03:05;2020-06-02T23:32:29
6;Concrete;Sleek Plastic Shoes Handmade Plastic Pizza;Research standardization Arizona;2020-06-03T13:23:41;2020-06-03T01:25:29
7;Intranet;Pula Practical Cotton Chips;Credit Card Account;2020-06-03T09:22:48;2020-06-03T09:17:58
8;withdrawal parsing;deposit projection redundant;scale Soft matrix;2020-06-03T11:05:44;2020-06-03T14:53:55
9;Usability Brand;plug-and-play Turnpike;Investor Pennsylvania SQL;2020-06-02T19:45:32;2020-06-02T23:55:20
10;User-centric Program support;payment sensor Aruban Guilder;Generic Steel Computer solutions knowledge user;2020-06-02T22:11:04;2020-06-02T21:42:38
